date,open,high,low,close,volume,average,barCount,symbol
2024-06-19 13:20:00-04:00,1.27215,1.27215,1.27215,1.27215,-1.0,-1.0,-1,GBP
2024-06-19 13:25:00-04:00,1.27215,1.2722,1.272,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 13:30:00-04:00,1.27205,1.27205,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 13:35:00-04:00,1.2719,1.2719,1.2717,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 13:40:00-04:00,1.2718,1.2718,1.27175,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 13:45:00-04:00,1.2718,1.2718,1.2717,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 13:50:00-04:00,1.2717,1.27175,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 13:55:00-04:00,1.2717,1.27175,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 14:00:00-04:00,1.2717,1.2717,1.2715,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 14:05:00-04:00,1.27155,1.27155,1.2715,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 14:10:00-04:00,1.2715,1.27155,1.2715,1.2715,-1.0,-1.0,-1,GBP
2024-06-19 14:15:00-04:00,1.2715,1.2715,1.27145,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 14:20:00-04:00,1.27145,1.2715,1.2714,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 14:25:00-04:00,1.27145,1.27145,1.2714,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 14:30:00-04:00,1.27145,1.27145,1.2714,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 14:35:00-04:00,1.27145,1.2715,1.27145,1.27145,-1.0,-1.0,-1,GBP
2024-06-19 14:40:00-04:00,1.27145,1.2716,1.27145,1.2716,-1.0,-1.0,-1,GBP
2024-06-19 14:45:00-04:00,1.2716,1.2716,1.2715,1.27155,-1.0,-1.0,-1,GBP
2024-06-19 14:50:00-04:00,1.27155,1.27165,1.2715,1.27165,-1.0,-1.0,-1,GBP
2024-06-19 14:55:00-04:00,1.27165,1.2718,1.27165,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 15:00:00-04:00,1.2718,1.2719,1.2717,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:05:00-04:00,1.2717,1.2717,1.2717,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:10:00-04:00,1.2717,1.2718,1.2717,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 15:15:00-04:00,1.2718,1.2718,1.2717,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:20:00-04:00,1.2717,1.2717,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:25:00-04:00,1.2717,1.2717,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:30:00-04:00,1.2717,1.2717,1.27165,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:35:00-04:00,1.2717,1.2718,1.2717,1.2717,-1.0,-1.0,-1,GBP
2024-06-19 15:40:00-04:00,1.2717,1.27175,1.2717,1.27175,-1.0,-1.0,-1,GBP
2024-06-19 15:45:00-04:00,1.27175,1.2719,1.27175,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 15:50:00-04:00,1.2719,1.2719,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 15:55:00-04:00,1.2719,1.2719,1.2718,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 16:00:00-04:00,1.2718,1.27185,1.2718,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 16:05:00-04:00,1.2718,1.2718,1.2718,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 16:10:00-04:00,1.2718,1.2718,1.2718,1.2718,-1.0,-1.0,-1,GBP
2024-06-19 16:15:00-04:00,1.2718,1.27195,1.27175,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 16:20:00-04:00,1.2719,1.2719,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 16:25:00-04:00,1.2719,1.2719,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 16:30:00-04:00,1.2719,1.2719,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 16:35:00-04:00,1.2719,1.2719,1.2719,1.2719,-1.0,-1.0,-1,GBP
2024-06-19 16:40:00-04:00,1.2719,1.27195,1.2719,1.27195,-1.0,-1.0,-1,GBP
2024-06-19 16:45:00-04:00,1.27195,1.27195,1.2719,1.27195,-1.0,-1.0,-1,GBP
2024-06-19 16:50:00-04:00,1.27195,1.272,1.2719,1.272,-1.0,-1.0,-1,GBP
2024-06-19 16:55:00-04:00,1.272,1.2721,1.27195,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 17:15:00-04:00,1.27195,1.27205,1.27195,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 17:20:00-04:00,1.27205,1.2724,1.272,1.27235,-1.0,-1.0,-1,GBP
2024-06-19 17:25:00-04:00,1.27235,1.27235,1.27225,1.27225,-1.0,-1.0,-1,GBP
2024-06-19 17:30:00-04:00,1.27225,1.27225,1.27205,1.27215,-1.0,-1.0,-1,GBP
2024-06-19 17:35:00-04:00,1.27215,1.27215,1.27205,1.27215,-1.0,-1.0,-1,GBP
2024-06-19 17:40:00-04:00,1.27215,1.27215,1.2721,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 17:45:00-04:00,1.2721,1.2722,1.27205,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 17:50:00-04:00,1.2721,1.27215,1.27205,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 17:55:00-04:00,1.2721,1.2723,1.27205,1.27225,-1.0,-1.0,-1,GBP
2024-06-19 18:00:00-04:00,1.27225,1.27245,1.27205,1.2722,-1.0,-1.0,-1,GBP
2024-06-19 18:05:00-04:00,1.2722,1.2723,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:10:00-04:00,1.272,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 18:15:00-04:00,1.2721,1.2721,1.27205,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 18:20:00-04:00,1.2721,1.27215,1.2721,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 18:25:00-04:00,1.2721,1.2721,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:30:00-04:00,1.272,1.27205,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:35:00-04:00,1.272,1.27205,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:40:00-04:00,1.272,1.272,1.2718,1.27185,-1.0,-1.0,-1,GBP
2024-06-19 18:45:00-04:00,1.27185,1.2721,1.2718,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:50:00-04:00,1.272,1.2721,1.27195,1.272,-1.0,-1.0,-1,GBP
2024-06-19 18:55:00-04:00,1.272,1.2721,1.27195,1.272,-1.0,-1.0,-1,GBP
2024-06-19 19:00:00-04:00,1.272,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:05:00-04:00,1.2721,1.2721,1.272,1.27205,-1.0,-1.0,-1,GBP
2024-06-19 19:10:00-04:00,1.27205,1.27205,1.272,1.272,-1.0,-1.0,-1,GBP
2024-06-19 19:15:00-04:00,1.272,1.272,1.27195,1.272,-1.0,-1.0,-1,GBP
2024-06-19 19:20:00-04:00,1.272,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:25:00-04:00,1.2721,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:30:00-04:00,1.2721,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:35:00-04:00,1.2721,1.2721,1.272,1.2721,-1.0,-1.0,-1,GBP
2024-06-19 19:40:00-04:00,1.2721,1.27215,1.27205,1.2721,-1.0,-1.0,-1,GBP
